condition,step,avg_verifications,avg_backtracking,avg_subgoals,avg_backwards,total_verifications,total_backtracking,total_subgoals,total_backwards,accuracy,response_length
backtracking_backward,160,0.69,4.305,0.12,1.49,138,861,24,298,0.7412109375,657.7548828125
backtracking_backward,170,0.59,4.33,0.045,1.645,118,866,9,329,0.7451171875,652.1181640625
backtracking_backward,180,0.635,4.845,0.14,1.465,127,969,28,293,0.7451171875,672.0947265625
backtracking_backward,190,0.61,5.255,0.03,1.525,122,1051,6,305,0.7509765625,659.015625
backtracking_backward,200,0.775,3.725,0.14,1.77,155,745,28,354,0.75390625,649.6435546875
backtracking_backward,210,0.74,4.375,0.115,1.595,148,875,23,319,0.751953125,653.0966796875
backtracking_backward,220,0.77,4.785,0.055,1.76,154,957,11,352,0.7568359375,649.9775390625
backtracking_backward,230,0.82,4.755,0.07,1.84,164,951,14,368,0.7548828125,640.75
backtracking_backward,240,0.785,4.77,0.1,1.57,157,954,20,314,0.755859375,656.869140625
backtracking_backward,250,0.65,4.775,0.075,1.75,130,955,15,350,0.7568359375,623.4951171875
only_backtracking,0,2.951171875,3.1396484375,0.6962890625,0.109375,3022,3215,713,112,0.4453125,838.7236328125
only_backtracking,20,0.92,5.56,0.07,0.14,184,1112,14,28,0.62109375,757.9013671875
only_backtracking,30,0.805,5.0,0.03,0.06,161,1000,6,12,0.6494140625,662.3232421875
only_backtracking,40,0.89,5.56,0.015,0.115,178,1112,3,23,0.6796875,677.8037109375
only_backtracking,50,0.79,5.05,0.025,0.03,158,1010,5,6,0.6962890625,647.841796875
only_backtracking,60,0.915,4.465,0.06,0.03,183,893,12,6,0.7138671875,625.7890625
only_backtracking,70,0.84,3.21,0.02,0.09,168,642,4,18,0.7109375,590.404296875
only_backtracking,80,0.9,4.535,0.095,0.045,180,907,19,9,0.724609375,622.9599609375
only_backtracking,90,0.925,4.64,0.025,0.115,185,928,5,23,0.7294921875,591.6552734375
only_backtracking,100,0.8,4.165,0.005,0.02,160,833,1,4,0.7333984375,576.2392578125
only_backtracking,110,0.81,4.15,0.02,0.09,162,830,4,18,0.734375,593.208984375
only_backtracking,120,0.835,3.925,0.015,0.06,167,785,3,12,0.728515625,620.69921875
only_backtracking,130,0.74,4.775,0.02,0.05,148,955,4,10,0.7294921875,618.185546875
only_backtracking,140,0.815,4.065,0.04,0.08,163,813,8,16,0.734375,594.0224609375
only_backtracking,150,0.83,3.98,0.04,0.09,166,796,8,18,0.7294921875,589.724609375
only_backtracking,160,0.76,4.37,0.0,0.07,152,874,0,14,0.7197265625,600.86328125
only_backtracking,170,0.775,4.93,0.01,0.09,155,986,2,18,0.7216796875,615.7412109375
only_backtracking,180,0.725,4.915,0.03,0.12,145,983,6,24,0.732421875,603.888671875
only_backtracking,190,0.785,4.535,0.02,0.06,157,907,4,12,0.732421875,622.91796875
only_backtracking,200,0.75,4.16,0.015,0.11,150,832,3,22,0.71875,605.55078125
only_backtracking,210,0.69,4.53,0.035,0.045,138,906,7,9,0.7197265625,584.6083984375
only_backtracking,220,0.66,4.525,0.01,0.045,132,905,2,9,0.7275390625,570.154296875
only_backtracking,230,0.67,4.185,0.015,0.085,134,837,3,17,0.73046875,597.1298828125
only_backtracking,240,0.68,4.645,0.015,0.095,136,929,3,19,0.7373046875,627.3037109375
only_backtracking,250,0.65,4.825,0.01,0.065,130,965,2,13,0.7275390625,629.6259765625
human_cot,0,0.145,1.57,0.0,0.0,29,314,0,0,0.0087890625,537.2607421875
human_cot,10,0.09,0.39,0.01,0.015,18,78,2,3,0.0986328125,208.09375
human_cot,20,0.755,1.87,0.0,0.085,151,374,0,17,0.3505859375,552.775390625
human_cot,30,0.72,1.455,0.0,0.025,144,291,0,5,0.44140625,614.6357421875
human_cot,40,0.99,1.64,0.0,0.12,198,328,0,24,0.494140625,620.6025390625
human_cot,50,0.935,1.59,0.0,0.08,187,318,0,16,0.50390625,562.392578125
human_cot,60,1.175,1.27,0.005,0.035,235,254,1,7,0.5224609375,585.6494140625
human_cot,70,1.33,1.165,0.01,0.02,266,233,2,4,0.52734375,519.498046875
human_cot,100,2.595,0.61,0.01,0.03,519,122,2,6,0.548828125,518.751953125
human_cot,110,2.17,0.96,0.01,0.045,434,192,2,9,0.546875,490.837890625
human_cot,120,1.66,1.035,0.0,0.045,332,207,0,9,0.556640625,440.431640625
human_cot,130,1.505,0.67,0.0,0.05,301,134,0,10,0.55078125,438.1005859375
human_cot,140,1.445,0.47,0.0,0.03,289,94,0,6,0.55078125,409.0693359375
human_cot,150,1.7,0.775,0.0,0.025,340,155,0,5,0.556640625,441.9189453125
human_cot,160,2.165,0.635,0.04,0.05,433,127,8,10,0.5546875,417.751953125
human_cot,170,2.09,0.715,0.0,0.02,418,143,0,4,0.552734375,428.7216796875
human_cot,180,2.92,0.835,0.0,0.015,584,167,0,3,0.548828125,454.2783203125
human_cot,190,2.875,0.62,0.0,0.02,575,124,0,4,0.55078125,426.115234375
human_cot,200,2.87,0.585,0.0,0.03,574,117,0,6,0.5595703125,431.255859375
human_cot,210,3.06,0.475,0.015,0.025,612,95,3,5,0.564453125,479.3515625
human_cot,220,2.745,0.59,0.0,0.065,549,118,0,13,0.5634765625,454.1083984375
human_cot,230,3.045,0.645,0.0,0.04,609,129,0,8,0.548828125,443.0107421875
human_cot,240,3.455,0.545,0.0,0.005,691,109,0,1,0.56640625,450.97265625
human_cot,250,3.84,1.015,0.015,0.005,768,203,3,1,0.5556640625,458.208984375
backtracking_verification,0,2.974609375,3.111328125,0.669921875,0.1025390625,3046,3186,686,105,0.4453125,838.7236328125
backtracking_verification,10,3.6,3.075,0.61,0.1,720,615,122,20,0.56640625,903.1357421875
backtracking_verification,20,4.605,5.55,0.205,0.135,921,1110,41,27,0.634765625,984.404296875
backtracking_verification,30,4.875,4.785,0.085,0.11,975,957,17,22,0.6552734375,962.232421875
backtracking_verification,40,4.375,5.325,0.2,0.01,875,1065,40,2,0.6708984375,908.0927734375
backtracking_verification,50,3.61,4.49,0.195,0.065,722,898,39,13,0.7021484375,859.8515625
backtracking_verification,60,4.18,4.08,0.13,0.01,836,816,26,2,0.716796875,838.9775390625
backtracking_verification,70,3.105,3.85,0.11,0.02,621,770,22,4,0.720703125,788.5751953125
backtracking_verification,80,4.09,4.24,0.05,0.065,818,848,10,13,0.712890625,806.1611328125
backtracking_verification,90,3.3,3.165,0.05,0.04,660,633,10,8,0.708984375,773.298828125
backtracking_verification,100,3.355,3.705,0.03,0.02,671,741,6,4,0.7275390625,769.982421875
backtracking_verification,110,2.825,4.345,0.065,0.025,565,869,13,5,0.72265625,787.8447265625
backtracking_verification,120,3.47,3.395,0.02,0.03,694,679,4,6,0.7197265625,747.412109375
backtracking_verification,130,4.6,3.85,0.08,0.01,920,770,16,2,0.7265625,777.0
backtracking_verification,140,3.25,3.765,0.045,0.035,650,753,9,7,0.7197265625,775.5400390625
backtracking_verification,150,3.665,3.33,0.015,0.1,733,666,3,20,0.720703125,781.3125
backtracking_verification,160,3.89,3.585,0.06,0.005,778,717,12,1,0.7236328125,742.9912109375
backtracking_verification,170,3.38,3.64,0.015,0.04,676,728,3,8,0.736328125,772.5869140625
backtracking_verification,180,3.66,3.05,0.02,0.03,732,610,4,6,0.7275390625,770.865234375
backtracking_verification,190,3.485,3.49,0.035,0.025,697,698,7,5,0.740234375,766.2099609375
backtracking_verification,200,3.1,2.84,0.02,0.035,620,568,4,7,0.7236328125,785.662109375
backtracking_verification,210,3.975,3.52,0.0,0.05,795,704,0,10,0.7236328125,769.8837890625
backtracking_verification,220,4.02,3.06,0.03,0.045,804,612,6,9,0.7421875,756.65234375
