condition,step,avg_verifications,avg_backtracking,avg_subgoals,avg_backwards,total_verifications,total_backtracking,total_subgoals,total_backwards,accuracy,response_length
backtracking_backward,110,0.14,4.8,0.21,2.79,28,960,42,558,0.71875,667.115234375
backtracking_backward,120,0.285,4.065,0.08,2.67,57,813,16,534,0.73046875,655.39453125
backtracking_backward,130,0.195,4.33,0.105,2.38,39,866,21,476,0.7421875,646.0224609375
backtracking_backward,140,0.2,4.735,0.085,2.715,40,947,17,543,0.7431640625,640.3544921875
backtracking_backward,150,0.175,4.995,0.005,2.715,35,999,1,543,0.7578125,634.1826171875
backtracking_backward,160,0.115,3.765,0.07,2.425,23,753,14,485,0.7607421875,596.830078125
backtracking_backward,170,0.1,4.175,0.06,2.89,20,835,12,578,0.7568359375,600.5546875
backtracking_backward,180,0.16,4.94,0.14,3.395,32,988,28,679,0.7529296875,636.48828125
backtracking_backward,190,0.145,4.345,0.11,3.1,29,869,22,620,0.7412109375,584.1845703125
backtracking_backward,200,0.105,4.185,0.125,2.625,21,837,25,525,0.7548828125,571.5048828125
backtracking_backward,210,0.13,4.485,0.175,2.89,26,897,35,578,0.7607421875,623.068359375
backtracking_backward,220,0.075,4.39,0.09,2.78,15,878,18,556,0.7685546875,565.4775390625
backtracking_backward,230,0.095,4.635,0.13,3.04,19,927,26,608,0.7705078125,608.0576171875
backtracking_backward,240,0.08,4.79,0.07,2.745,16,958,14,549,0.7724609375,589.4873046875
backtracking_backward,250,0.12,4.77,0.08,2.395,24,954,16,479,0.7734375,600.8984375
only_backtracking,0,0.59,2.955,0.105,0.075,118,591,21,15,0.4091796875,500.1337890625
only_backtracking,10,0.705,5.18,0.035,0.055,141,1036,7,11,0.54296875,706.5703125
only_backtracking,20,0.57,5.505,0.02,0.05,114,1101,4,10,0.595703125,799.87109375
only_backtracking,30,0.665,5.15,0.015,0.08,133,1030,3,16,0.626953125,744.23046875
only_backtracking,40,0.725,5.655,0.025,0.055,145,1131,5,11,0.65625,796.7939453125
only_backtracking,50,0.625,4.555,0.005,0.1,125,911,1,20,0.6572265625,716.875
only_backtracking,60,0.755,6.24,0.0,0.095,151,1248,0,19,0.689453125,802.771484375
only_backtracking,70,0.57,4.83,0.025,0.135,114,966,5,27,0.7001953125,728.595703125
only_backtracking,80,0.605,5.115,0.045,0.055,121,1023,9,11,0.70703125,785.72265625
only_backtracking,90,0.6,5.65,0.02,0.06,120,1130,4,12,0.7177734375,721.8095703125
